GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (1322),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
cellular amino acid metabolic process (GO:0006520),279,5,17.91,-,0.28,9.44E-04,2.71E-02
organic acid catabolic process (GO:0016054),240,4,15.41,-,0.26,1.61E-03,4.25E-02
sensory perception (GO:0007600),973,15,62.46,-,0.24,1.45E-12,2.33E-10
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188),220,3,14.12,-,0.21,9.86E-04,2.80E-02
glycosylation (GO:0070085),255,3,16.37,-,0.18,1.79E-04,6.31E-03
sulfur compound metabolic process (GO:0006790),369,4,23.69,-,0.17,2.59E-06,1.46E-04
humoral immune response (GO:0006959),386,4,24.78,-,0.16,8.65E-07,5.46E-05
glycoprotein biosynthetic process (GO:0009101),300,3,19.26,-,0.16,1.50E-05,7.30E-04
detection of stimulus (GO:0051606),718,7,46.09,-,0.15,3.12E-12,4.64E-10
protein glycosylation (GO:0006486),242,2,15.53,-,0.13,6.28E-05,2.58E-03
macromolecule glycosylation (GO:0043413),242,2,15.53,-,0.13,6.28E-05,2.57E-03
glycoprotein metabolic process (GO:0009100),372,3,23.88,-,0.13,2.81E-07,1.95E-05
sensory perception of chemical stimulus (GO:0007606),542,4,34.79,-,0.11,2.15E-10,2.70E-08
sensory perception of smell (GO:0007608),468,2,30.04,-,0.07,1.19E-10,1.58E-08
detection of stimulus involved in sensory perception (GO:0050906),554,1,35.56,-,0.03,3.81E-14,7.71E-12
"complement activation, classical pathway (GO:0006958)",161,0,10.33,-, < 0.01,7.97E-05,3.16E-03
complement activation (GO:0006956),177,0,11.36,-, < 0.01,3.88E-05,1.69E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455),167,0,10.72,-, < 0.01,5.32E-05,2.23E-03
xenobiotic metabolic process (GO:0006805),124,0,7.96,-, < 0.01,8.97E-04,2.60E-02
cellular response to xenobiotic stimulus (GO:0071466),129,0,8.28,-, < 0.01,5.87E-04,1.83E-02
oxidative phosphorylation (GO:0006119),120,0,7.7,-, < 0.01,8.67E-04,2.54E-02
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),441,0,28.31,-, < 0.01,1.76E-12,2.72E-10
detection of chemical stimulus involved in sensory perception (GO:0050907),486,0,31.2,-, < 0.01,1.05E-13,2.05E-11
detection of chemical stimulus (GO:0009593),522,0,33.51,-, < 0.01,8.92E-15,1.83E-12
response to xenobiotic stimulus (GO:0009410),136,0,8.73,-, < 0.01,3.97E-04,1.29E-02
respiratory electron transport chain (GO:0022904),108,0,6.93,-, < 0.01,1.93E-03,4.96E-02
electron transport chain (GO:0022900),170,0,10.91,-, < 0.01,5.67E-05,2.36E-03
regulation of complement activation (GO:0030449),117,0,7.51,-, < 0.01,1.32E-03,3.61E-02
regulation of humoral immune response (GO:0002920),140,0,8.99,-, < 0.01,2.61E-04,8.84E-03
