Protein,Gene,Bio,Bio,Bio,Bio,Bio,Bio,Dox,Dox,Dox,Dox,Dox,Dox,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio750,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBio821,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF750,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821,DoxBioAF821
Protein S100-P OS=Homo sapiens OX=9606 GN=S100P PE=1 SV=2,S100P_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,SYTL4_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Pancreatic triacylglycerol lipase OS=Homo sapiens OX=9606 GN=PNLIP PE=1 SV=1,LIPP_HUMAN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAD2L1-binding protein OS=Homo sapiens OX=9606 GN=MAD2L1BP PE=1 SV=1,MD2BP_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharacterized protein C16orf46 OS=Homo sapiens OX=9606 GN=C16orf46 PE=2 SV=2,CP046_HUMAN-DECOY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R3H domain-containing protein 2 OS=Homo sapiens OX=9606 GN=R3HDM2 PE=1 SV=3,R3HD2_HUMAN-DECOY,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Putative uncharacterized protein encoded by LINC00479 OS=Homo sapiens OX=9606 GN=LINC00479 PE=5 SV=2,CU129_HUMAN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Thrombospondin type-1 domain-containing protein 7B OS=Homo sapiens OX=9606 GN=THSD7B PE=2 SV=3,THS7B_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cAMP-responsive element modulator OS=Homo sapiens OX=9606 GN=CREM PE=1 SV=6,CREM_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NUAK family SNF1-like kinase 2 OS=Homo sapiens OX=9606 GN=NUAK2 PE=1 SV=1,NUAK2_HUMAN,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuritin OS=Homo sapiens OX=9606 GN=NRN1 PE=2 SV=1,NRN1_HUMAN,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine-glutamic acid dipeptide repeats protein OS=Homo sapiens OX=9606 GN=RERE PE=1 SV=2,RERE_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TPT1-like protein OS=Homo sapiens OX=9606 PE=2 SV=2,TPT1L_HUMAN,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2",ACON_HUMAN-DECOY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Homeobox protein DLX-5 OS=Homo sapiens OX=9606 GN=DLX5 PE=1 SV=2,DLX5_HUMAN,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP-binding cassette sub-family A member 9 OS=Homo sapiens OX=9606 GN=ABCA9 PE=1 SV=1,ABCA9_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Striatin-interacting protein 2 OS=Homo sapiens OX=9606 GN=STRIP2 PE=1 SV=2,STRP2_HUMAN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zinc finger FYVE domain-containing protein 26 OS=Homo sapiens OX=9606 GN=ZFYVE26 PE=1 SV=3,ZFY26_HUMAN-DECOY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epididymal sperm-binding protein 1 OS=Homo sapiens OX=9606 GN=ELSPBP1 PE=1 SV=2,ESPB1_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ephrin type-A receptor 7 OS=Homo sapiens OX=9606 GN=EPHA7 PE=1 SV=3,EPHA7_HUMAN-DECOY,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cathepsin K OS=Homo sapiens OX=9606 GN=CTSK PE=1 SV=1,CATK_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Putative uncharacterized protein FLJ45840 OS=Homo sapiens OX=9606 PE=5 SV=2,YF009_HUMAN,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganglioside-induced differentiation-associated protein 2 OS=Homo sapiens OX=9606 GN=GDAP2 PE=1 SV=1,GDAP2_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIP1-associated protein 1 OS=Homo sapiens OX=9606 GN=GRIPAP1 PE=1 SV=2,GRAP1_HUMAN,2,2,2,1,3,0,2,2,2,2,2,2,2,2,1,2,1,1,0,1,0,2,2,2,2,2,2,2,0,1,1,2,2,2,2,3,2,0,0,2,1,1,3,0,2,2,1,0
"Spectrin beta chain, non-erythrocytic 5 OS=Homo sapiens OX=9606 GN=SPTBN5 PE=1 SV=2",SPTN5_HUMAN,3,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,2,3,0,0,0,2,0,2,1,2,3,2,1,0,0,1,2,2,2,0,0,0,2,0,2,0,0,1,0,0,1
Zinc fingers and homeoboxes protein 1 OS=Homo sapiens OX=9606 GN=ZHX1 PE=1 SV=1,ZHX1_HUMAN-DECOY,0,0,0,2,0,0,1,1,0,1,1,1,1,0,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
Serine-protein kinase ATM OS=Homo sapiens OX=9606 GN=ATM PE=1 SV=4,ATM_HUMAN-DECOY,2,0,0,2,0,1,0,0,0,0,0,2,2,2,2,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,0,2,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Transmembrane protein KIAA1109 OS=Homo sapiens OX=9606 GN=KIAA1109 PE=1 SV=2,K1109_HUMAN-DECOY,3,0,0,0,0,0,2,2,0,0,1,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,3,0,1,0,0,0,0,0,0,0,1,0,1,0
Adhesion G protein-coupled receptor B3 OS=Homo sapiens OX=9606 GN=ADGRB3 PE=1 SV=2,AGRB3_HUMAN,0,0,0,0,0,2,1,1,2,0,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Metabotropic glutamate receptor 1 OS=Homo sapiens OX=9606 GN=GRM1 PE=1 SV=3,GRM1_HUMAN,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,3,1,0,0,0,0,0,1,1,0,0,1,0,3,0
Probable ATP-dependent RNA helicase DHX34 OS=Homo sapiens OX=9606 GN=DHX34 PE=1 SV=2,DHX34_HUMAN-DECOY,1,0,0,0,0,0,1,1,1,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Serine/threonine-protein kinase MRCK gamma OS=Homo sapiens OX=9606 GN=CDC42BPG PE=1 SV=2,MRCKG_HUMAN-DECOY,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0
Inactive ubiquitin carboxyl-terminal hydrolase 54 OS=Homo sapiens OX=9606 GN=USP54 PE=1 SV=4,UBP54_HUMAN,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,3,1,1,0,0,0,1,0,0,1,0,0,0
Sorting nexin-29 OS=Homo sapiens OX=9606 GN=SNX29 PE=1 SV=3,SNX29_HUMAN-DECOY,2,0,2,0,0,0,2,2,0,0,1,2,0,0,0,2,2,2,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens OX=9606 GN=ELAC2 PE=1 SV=2,RNZ2_HUMAN,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
Kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=KNTC1 PE=1 SV=1,KNTC1_HUMAN,1,0,0,3,0,0,2,2,0,1,3,0,0,0,1,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3,STAR9_HUMAN,0,0,0,0,0,0,3,3,0,0,1,0,0,1,4,0,3,3,0,0,0,0,0,0,0,2,0,0,0,0,2,3,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
ATPase family AAA domain-containing protein 2B OS=Homo sapiens OX=9606 GN=ATAD2B PE=1 SV=3,ATD2B_HUMAN-DECOY,0,0,0,1,0,0,3,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44_HUMAN-DECOY,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Iporin OS=Homo sapiens OX=9606 GN=RUSC2 PE=1 SV=3,RUSC2_HUMAN,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Guanine nucleotide exchange factor VAV3 OS=Homo sapiens OX=9606 GN=VAV3 PE=1 SV=1,VAV3_HUMAN,0,0,0,2,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0
Serine/threonine-protein kinase SIK3 OS=Homo sapiens OX=9606 GN=SIK3 PE=1 SV=4,SIK3_HUMAN,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Mucin-19 OS=Homo sapiens OX=9606 GN=MUC19 PE=1 SV=3,MUC19_HUMAN,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,1,0,3,0,0,0,4,1,0,0,2,0,1,0,0,3,1,0,0
Sodium channel protein type 7 subunit alpha OS=Homo sapiens OX=9606 GN=SCN7A PE=1 SV=2,SCN7A_HUMAN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Colipase-like protein 2 OS=Homo sapiens OX=9606 GN=CLPSL2 PE=1 SV=3,COLL2_HUMAN-DECOY,2,0,0,1,0,0,1,1,0,0,1,1,1,2,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Synemin OS=Homo sapiens OX=9606 GN=SYNM PE=1 SV=2,SYNEM_HUMAN-DECOY,1,0,0,0,0,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0
Neurexin-1 OS=Homo sapiens OX=9606 GN=NRXN1 PE=1 SV=1,NRX1A_HUMAN,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens OX=9606 GN=ITPR1 PE=1 SV=3",ITPR1_HUMAN-DECOY,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster of Serpin B8 OS=Homo sapiens OX=9606 GN=SERPINB8 PE=1 SV=2 (SPB8_HUMAN),SPB8_HUMAN [2],1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Structural maintenance of chromosomes protein 6 OS=Homo sapiens OX=9606 GN=SMC6 PE=1 SV=2,SMC6_HUMAN-DECOY,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fructosamine-3-kinase OS=Homo sapiens OX=9606 GN=FN3K PE=1 SV=1,FN3K_HUMAN-DECOY,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Ladinin-1 OS=Homo sapiens OX=9606 GN=LAD1 PE=1 SV=2,LAD1_HUMAN,1,0,2,1,0,0,2,2,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zinc finger protein 736 OS=Homo sapiens OX=9606 GN=ZNF736 PE=2 SV=2,ZN736_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0,2,0,1,0,1,0
tRNA-splicing endonuclease subunit Sen54 OS=Homo sapiens OX=9606 GN=TSEN54 PE=1 SV=3,SEN54_HUMAN,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,LAMA5_HUMAN,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0
Synaptonemal complex protein 1 OS=Homo sapiens OX=9606 GN=SYCP1 PE=1 SV=2,SYCP1_HUMAN-DECOY,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0
Rab proteins geranylgeranyltransferase component A 1 OS=Homo sapiens OX=9606 GN=CHM PE=1 SV=3,RAE1_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
Centromere protein F OS=Homo sapiens OX=9606 GN=CENPF PE=1 SV=3,CENPF_HUMAN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,3,2,1,1,0,0,0,0,0,0,1,2,0,0
ADAMTS-like protein 3 OS=Homo sapiens OX=9606 GN=ADAMTSL3 PE=1 SV=4,ATL3_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Microtubule cross-linking factor 1 OS=Homo sapiens OX=9606 GN=MTCL1 PE=1 SV=5,MTCL1_HUMAN,0,0,0,1,0,0,1,1,1,1,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GPI ethanolamine phosphate transferase 2 OS=Homo sapiens OX=9606 GN=PIGG PE=1 SV=1,PIGG_HUMAN,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Laminin subunit alpha-4 OS=Homo sapiens OX=9606 GN=LAMA4 PE=1 SV=4,LAMA4_HUMAN,1,0,0,0,0,0,1,1,1,0,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,IMB1_HUMAN,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DnaJ homolog subfamily C member 12 OS=Homo sapiens OX=9606 GN=DNAJC12 PE=1 SV=1,DJC12_HUMAN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Interleukin-17 receptor A OS=Homo sapiens OX=9606 GN=IL17RA PE=1 SV=2,I17RA_HUMAN-DECOY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0
Ubiquitin thioesterase OTU1 OS=Homo sapiens OX=9606 GN=YOD1 PE=1 SV=1,OTU1_HUMAN-DECOY,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Protein DENND6A OS=Homo sapiens OX=9606 GN=DENND6A PE=1 SV=1,DEN6A_HUMAN-DECOY,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2,ATRN_HUMAN,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
AT-rich interactive domain-containing protein 4A OS=Homo sapiens OX=9606 GN=ARID4A PE=1 SV=3,ARI4A_HUMAN-DECOY,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,1,0
Synaptopodin-2 OS=Homo sapiens OX=9606 GN=SYNPO2 PE=1 SV=2,SYNP2_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"ATP synthase F(0) complex subunit C3, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MC3 PE=1 SV=1",AT5G3_HUMAN,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
A-kinase anchor protein 7 isoform gamma OS=Homo sapiens OX=9606 GN=AKAP7 PE=1 SV=2,AKA7G_HUMAN-DECOY,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,0
Solute carrier family 25 member 48 OS=Homo sapiens OX=9606 GN=SLC25A48 PE=1 SV=2,S2548_HUMAN,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serine/arginine repetitive matrix protein 4 OS=Homo sapiens OX=9606 GN=SRRM4 PE=1 SV=2,SRRM4_HUMAN-DECOY,0,0,0,0,0,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1
Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,KI67_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
Glycosyltransferase 1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GLT1D1 PE=2 SV=2,GL1D1_HUMAN-DECOY,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Prickle-like protein 2 OS=Homo sapiens OX=9606 GN=PRICKLE2 PE=1 SV=2,PRIC2_HUMAN,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0
BICD family-like cargo adapter 2 OS=Homo sapiens OX=9606 GN=BICDL2 PE=1 SV=2,BICL2_HUMAN-DECOY,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Baculoviral IAP repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=NAIP PE=1 SV=3,BIRC1_HUMAN-DECOY,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zinc finger protein 462 OS=Homo sapiens OX=9606 GN=ZNF462 PE=1 SV=3,ZN462_HUMAN-DECOY,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Probable E3 ubiquitin-protein ligase IRF2BPL OS=Homo sapiens OX=9606 GN=IRF2BPL PE=1 SV=1,I2BPL_HUMAN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Multivesicular body subunit 12A OS=Homo sapiens OX=9606 GN=MVB12A PE=1 SV=1,MB12A_HUMAN-DECOY,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Intraflagellar transport protein 172 homolog OS=Homo sapiens OX=9606 GN=IFT172 PE=1 SV=2,IF172_HUMAN,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plexin-B3 OS=Homo sapiens OX=9606 GN=PLXNB3 PE=1 SV=2,PLXB3_HUMAN-DECOY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ribosomal protein S6 kinase beta-1 OS=Homo sapiens OX=9606 GN=RPS6KB1 PE=1 SV=2,KS6B1_HUMAN,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
